time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
5,791674,158329,4947.79,48.65,67.5,80.5,0,582,0
10,1593721,160364,5011.39,48.55,67.5,78.5,405.386,582,0
15,2402312,161701,5053.15,48.15,67.5,77.5,402.424,582,0
20,3213788,162277,5071.16,47.95,67.5,77.5,402.871,582,0
25,4023735,161972,5061.63,47.85,67.5,77.5,400.101,582,0
30,4835089,162254,5070.44,47.75,67.5,77.5,401.107,582,0
35,5645838,162133,5066.66,47.75,67.5,77.5,401.143,582,0
40,6457738,162363,5073.85,47.65,67.5,77.5,400.235,582,0
45,7269077,162251,5070.34,47.65,67.5,77.5,400.067,582,0
50,8081319,162431,5075.96,47.55,67.5,77.5,401.213,582,0
55,8894804,162680,5083.76,47.55,67.5,77.5,401.853,582,0
60,9707417,162505,5078.27,47.55,67.5,77.5,401.716,582,0
65,10519552,162402,5075.05,47.45,67.5,77.5,401.715,582,0
70,11332268,162527,5078.96,47.45,67.5,77.5,401.617,582,0
75,12144841,162499,5078.09,47.45,67.5,77.5,403.343,582,0
80,12957288,162474,5077.32,47.45,67.5,77.5,401.647,582,0
85,13768994,162326,5072.68,47.45,67.5,77.5,400.876,582,0
90,14581370,162458,5076.81,47.45,67.5,77.5,400.909,582,0
95,15394039,162518,5078.68,47.35,67.5,77.5,400.638,582,0
100,16206972,162571,5080.33,47.35,67.5,77.5,401.582,582,0
105,17017469,162083,5065.08,47.35,67.5,77.5,401.276,582,0
110,17830240,162538,5079.3,47.35,67.5,77.5,400.705,582,0
115,18643114,162558,5079.94,47.35,67.5,77.5,400.302,582,0
120,19453232,162007,5062.73,47.35,67.5,77.5,401.748,582,0
125,20264933,162321,5072.53,47.35,67.5,77.5,400.034,582,0
130,21075782,162153,5067.29,47.35,67.5,77.5,400.57,582,0
135,21888588,162546,5079.55,47.35,67.5,77.5,401.008,582,0
140,22701266,162519,5078.7,47.35,67.5,77.5,401.212,582,0
145,23512561,162244,5070.11,47.35,67.5,77.5,402.491,582,0
150,24324903,162451,5076.59,47.35,67.5,77.5,400.134,582,0
155,25137423,162488,5077.76,47.35,67.5,77.5,401.278,582,0
160,25949876,162475,5077.35,47.35,67.5,77.5,400.942,582,0
165,26761750,162357,5073.66,47.35,67.5,77.5,400.538,582,0
170,27574022,162436,5076.14,47.35,67.5,77.5,401.042,582,0
175,28386476,162475,5077.33,47.35,67.5,77.5,400.303,582,0
180,29198305,162349,5073.42,47.35,67.5,77.5,400.269,582,0
185,30009487,162221,5069.39,47.35,67.5,77.5,402.089,582,0
190,30822727,162632,5082.25,47.25,67.5,77.5,399.395,582,0
195,31636037,162645,5082.65,47.25,67.5,77.5,400.773,582,0
200,32448241,162424,5075.75,47.25,67.5,77.5,403.3,582,0
205,33261004,162536,5079.25,47.25,67.5,77.5,400.908,582,0
210,34072638,162310,5072.19,47.25,67.5,77.5,400.638,582,0
215,34885273,162510,5078.45,47.25,67.5,77.5,400.639,582,0
220,35697093,162346,5073.31,47.25,67.5,77.5,401.715,582,0
225,36509299,162425,5075.78,47.25,67.5,77.5,399.966,582,0
230,37321705,162465,5077.04,47.25,67.5,77.5,401.718,582,0
235,38133660,162374,5074.2,47.25,67.5,77.5,402.662,582,0
240,38945220,162294,5071.7,47.25,67.5,77.5,400.336,582,0
245,39756925,162323,5072.59,47.25,67.5,77.5,401.448,582,0
