time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
10,3633814,362912,11341,44.15,59.5,68.5,0,5,0
20,7287813,365338,11416.8,43.95,59.5,67.5,416.25,5,0
30,11006952,371599,11612.5,43.75,59.5,66.5,475.819,5,0
40,14729479,371690,11615.3,43.75,58.5,66.5,450.702,5,0
50,18455780,372191,11631,43.65,58.5,66.5,454.134,5,0
60,22115210,365814,11431.7,43.65,58.5,66.5,405.156,5,0
70,25770532,364978,11405.6,43.75,58.5,66.5,399.22,5,0
80,29428151,365172,11411.6,43.75,59.5,66.5,397.192,5,0
90,33091496,365754,11429.8,43.75,59.5,66.5,401.872,5,0
100,36756012,365870,11433.4,43.75,59.5,66.5,404.524,5,0
110,40417839,365618,11425.6,43.85,59.5,66.5,402.34,5,0
120,44080122,365671,11427.2,43.85,59.5,66.5,403.9,5,0
130,47746900,366098,11440.6,43.85,59.5,66.5,414.665,5,0
140,51420836,366833,11463.5,43.85,59.5,66.5,391.108,5,0
150,55089533,366267,11445.8,43.85,59.5,66.5,402.808,5,0
160,58751239,365621,11425.7,43.85,59.5,66.5,399.376,5,0
170,62419126,366193,11443.5,43.85,59.5,66.5,402.184,5,0
180,66084730,366004,11437.6,43.85,59.5,66.5,404.836,5,0
190,69749141,365890,11434.1,43.85,59.5,66.5,413.885,5,0
200,73413840,365889,11434,43.85,59.5,66.5,401.248,5,0
210,77075613,365589,11424.7,43.85,59.5,66.5,412.324,5,0
220,80731464,365030,11407.2,43.85,59.5,66.5,398.752,5,0
230,84389710,365239,11413.7,43.85,59.5,66.5,406.552,5,0
240,88052041,365650,11426.6,43.85,59.5,66.5,407.176,5,0
250,91713219,365565,11423.9,43.85,59.5,66.5,397.66,5,0
260,95369826,365089,11409,43.85,59.5,66.5,401.716,5,0
270,99029458,365383,11418.2,43.85,59.5,66.5,405.928,5,0
280,102699936,366490,11452.8,43.85,59.5,66.5,405.304,5,0
290,106368603,366290,11446.6,43.85,59.5,66.5,395.008,5,0
300,110034431,365996,11437.4,43.85,59.5,66.5,407.8,5,0
310,113698064,365800,11431.2,43.85,59.5,66.5,403.432,5,0
320,117368014,366440,11451.3,43.85,59.5,66.5,400.78,5,0
330,121035274,366139,11441.8,43.85,59.5,66.5,402.496,5,0
340,124706737,366583,11455.7,43.85,59.5,66.5,405.772,5,0
350,128373483,366092,11440.4,43.85,59.5,66.5,404.836,5,0
360,132042262,366328,11447.7,43.85,59.5,66.5,413.573,5,0
370,135713505,366516,11453.6,43.85,59.5,66.5,402.184,5,0
380,139383376,366854,11464.2,43.85,59.5,66.5,400.469,5,0
390,143104484,371892,11621.6,43.85,59.5,66.5,478.159,5,0
400,146849151,374179,11693.1,43.85,59.5,66.5,479.687,5,0
410,150608280,375546,11735.8,43.85,59.5,66.5,481.279,5,0
420,154342390,373327,11666.5,43.85,59.5,66.5,478.281,5,0
430,158073807,373068,11658.4,43.75,59.5,66.5,485.469,5,0
440,161806703,372712,11647.3,43.75,59.5,66.5,475.195,5,0
450,165538859,372819,11650.6,43.75,59.5,66.5,471.607,5,0
460,169258085,371636,11613.6,43.75,59.5,66.5,473.438,5,0
470,172915342,365598,11424.9,43.75,59.5,66.5,410.781,5,0
480,176578263,365971,11436.6,43.75,59.5,66.5,410.14,5,0
490,180246547,366227,11444.6,43.75,59.5,66.5,401.716,5,0
500,183911612,366451,11451.6,43.75,59.5,66.5,400.938,5,0
510,187586021,367168,11474,43.75,59.5,66.5,400,5,0
520,191292918,370365,11573.9,43.75,59.5,66.5,404.844,5,0
530,195002955,370719,11585,43.75,59.5,66.5,409.36,5,0
540,198701621,369766,11555.2,43.75,59.5,66.5,429.844,5,0
550,202366648,366038,11438.7,43.75,59.5,66.5,403.432,5,0
560,206024936,365611,11425.3,43.75,59.5,66.5,410,5,0
570,209688568,365796,11431.1,43.75,59.5,66.5,403.9,5,0
580,213354068,365978,11436.8,43.75,59.5,66.5,407.956,5,0
590,217014686,365806,11431.4,43.75,59.5,66.5,401.563,5,0
600,220672166,365438,11419.9,43.75,59.5,66.5,404.368,5,0
610,224359082,368500,11515.6,43.75,59.5,66.5,410.625,5,0
620,228068317,370473,11577.3,43.75,59.5,66.5,407.02,5,0
630,231773832,370260,11570.6,43.75,59.5,66.5,417.161,5,0
640,235491167,371245,11601.4,43.75,59.5,66.5,447.031,5,0
650,239214352,372000,11625,43.75,59.5,66.5,467.083,5,0
660,242938200,371849,11620.3,43.75,59.5,66.5,465.367,5,0
670,246668580,372592,11643.5,43.75,59.5,66.5,465.679,5,0
680,250400627,372605,11643.9,43.75,58.5,66.5,455.694,5,0
690,254129567,372314,11634.8,43.75,58.5,66.5,457.722,5,0
700,257871957,373861,11683.1,43.75,58.5,66.5,475,5,0
710,261614812,374128,11691.5,43.75,58.5,66.5,474.103,5,0
720,265361935,374392,11699.8,43.65,58.5,66.5,469.688,5,0
730,269101047,373448,11670.2,43.65,58.5,66.5,462.402,5,0
740,272772121,366535,11454.2,43.65,58.5,66.5,409.828,5,0
750,276428470,365320,11416.3,43.65,58.5,66.5,403.588,5,0
760,280149842,371729,11616.5,43.65,58.5,66.5,461.562,5,0
770,283888194,373380,11668.1,43.65,58.5,66.5,467.239,5,0
780,287622931,372915,11653.6,43.65,58.5,66.5,468.799,5,0
790,291363179,373433,11669.8,43.65,58.5,66.5,472.699,5,0
800,295104144,373503,11672,43.65,58.5,66.5,474.883,5,0
810,298850142,374035,11688.6,43.65,58.5,66.5,475.975,5,0
820,302593186,373944,11685.7,43.65,58.5,66.5,466.303,5,0
830,306330221,373485,11671.4,43.65,58.5,66.5,465.312,5,0
840,310055471,372474,11639.8,43.65,58.5,66.5,477.031,5,0
851,313778521,371827,11619.6,43.65,58.5,66.5,476.599,5,0
861,317499692,372046,11626.4,43.65,58.5,65.5,482.344,5,0
871,321224753,371932,11622.9,43.65,58.5,65.5,480.187,5,0
881,324945149,371460,11608.1,43.65,58.5,65.5,488.612,5,0
891,328672697,372157,11629.9,43.65,58.5,65.5,475.195,5,0
901,332399777,372124,11628.9,43.65,58.5,65.5,463.339,5,0
911,336124110,371875,11621.1,43.65,58.5,65.5,484.867,5,0
921,339848826,371869,11620.9,43.65,58.5,65.5,469.267,5,0
931,343567925,371565,11611.4,43.65,58.5,65.5,480.811,5,0
941,347293330,372117,11628.7,43.65,58.5,65.5,492.656,5,0
951,351018114,372093,11627.9,43.65,58.5,65.5,479.563,5,0
961,354757094,373300,11665.6,43.65,58.5,65.5,464.743,5,0
971,358503271,374033,11688.5,43.65,58.5,65.5,459.126,5,0
981,362246833,373794,11681,43.65,58.5,65.5,458.814,5,0
991,365988827,373621,11675.7,43.65,58.5,65.5,459.906,5,0
1001,369732160,373759,11680,43.65,58.5,65.5,465.055,5,0
1011,373481348,374311,11697.2,43.65,58.5,65.5,460.53,5,0
1021,377223537,373655,11676.7,43.65,58.5,65.5,465.211,5,0
1031,380953016,372365,11636.4,43.65,58.5,65.5,458.034,5,0
1041,384679215,372177,11630.5,43.65,58.5,65.5,464.743,5,0
1051,388408344,372745,11648.3,43.65,58.5,65.5,452.656,5,0
